Gene_Symbol,Uniprot_ID,Polar,Neutral,Hydrophobicity,0-2.78,2.95-4.0,4.03-8.08,4.9-6.2,8.0-9.2,10.4-13.0,0-1.08,0.128-0.186,0.219-0.409,Positive,Neutral,Negative,Buried,Exposed,Intermediate,Helix,Strand,Coil,(-0.20~0.16),(-0.3~ -0.52),(-0.98~ -2.46),High (5-21%),Medium (1.12-3.64%),Low (0-0.83%),High (1.21-2.02),Medium (0.63-1.12),Low (0.14-0.29),High (4-30%) ,Medium (1-3%) ,Low (0-1%) ,High (25-100%) ,Medium (5-18%) ,Low (0-4%) ,High (0.25-11) ,Medium (-0.25 – 0.17) ,Low (-0.3 - -0.8) ,High (1.18-2.07) ,Medium (0.84-1.16) ,Low (0.41-0.8) ,High (0.95-1.8) ,Medium (0.5-0.95) ,Low (0-0.5) ,High (?2.25) ,Medium (1.6-2.3) ,Low (?1.5) ,High  (?1.4) ,Medium (0.79-1.21) ,Low (?0.76) ,High (477-1197) ,Medium (95-423) ,Low (<95) ,Low (75-105),Medium (115-155),High (165-204),(-4.2 - -3.3),(-3.07 – 2.26),(-1.78 - -1.05),>1,1,0,>1,1,0,High (9-65 g/100g) ,Medium (1.14-7.44 g/100g) ,Low (0.048-0.82,Very flexible,Moderately flexible,Less flexible,Target
GUCY2D,Q02846,15,46.25,38.75,53.75,28.75,17.5,38.75,46.25,15,33.75,48.75,17.5,10,86.25,3.75,61.25,15,23.75,51.25,17.5,31.25,38.75,10,51.25,27.5,56.25,16.25,40,56.25,3.75,11.25,13.75,75,15,10,75,15,53.75,31.25,12.5,53.75,33.75,35,35,30,42.5,56.25,1.25,25,53.75,21.25,25,47.5,27.5,11.25,62.5,26.25,26.25,40,33.75,16.25,72.5,11.25,10,48.75,41.25,11.25,45,43.75,13.75,18.75,67.5,1
NELL1,Q92832,25,30,45,36.25,42.5,21.25,45,26.25,28.75,30,48.75,21.25,5,82.5,12.5,51.25,25,23.75,43.75,33.75,22.5,33.75,20,46.25,16.25,75,8.75,26.25,66.25,7.5,16.25,23.75,60,26.25,13.75,60,28.75,41.25,30,23.75,50,26.25,30,43.75,26.25,33.75,52.5,13.75,27.5,60,12.5,31.25,48.75,20,15,56.25,28.75,25,36.25,38.75,23.75,60,16.25,12.5,43.75,43.75,18.75,55,26.25,18.75,35,46.25,1
IGF2R,P11717,22.5,46.25,31.25,48.75,36.25,15,33.75,42.5,23.75,35,50,15,7.5,87.5,5,51.25,22.5,26.25,46.25,22.5,31.25,40,20,40,28.75,61.25,10,36.25,58.75,5,18.75,20,61.25,21.25,17.5,61.25,23.75,55,21.25,30,46.25,23.75,32.5,43.75,23.75,33.75,57.5,8.75,38.75,46.25,15,40,41.25,18.75,12.5,61.25,26.25,28.75,42.5,28.75,23.75,63.75,12.5,10,46.25,43.75,11.25,48.75,40,13.75,31.25,55,1
NOTCH4,Q99466,18.75,37.5,43.75,51.25,41.25,7.5,43.75,37.5,18.75,28.75,63.75,7.5,2.5,93.75,3.75,58.75,18.75,22.5,41.25,23.75,35,32.5,26.25,41.25,23.75,70,6.25,35,63.75,1.25,15,15,70,18.75,11.25,70,18.75,53.75,27.5,35,25,40,17.5,43.75,38.75,40,57.5,2.5,38.75,37.5,23.75,38.75,25,36.25,3.75,72.5,23.75,23.75,33.75,42.5,20,63.75,16.25,16.25,53.75,30,17.5,55,27.5,6.25,41.25,52.5,1
POMC,P01189,30,36.25,33.75,46.25,36.25,17.5,35,35,30,31.25,51.25,17.5,8.75,78.75,12.5,41.25,30,28.75,48.75,20,31.25,31.25,33.75,35,22.5,67.5,10,33.75,61.25,5,17.5,30,52.5,27.5,20,52.5,30,46.25,23.75,36.25,32.5,31.25,27.5,47.5,25,38.75,48.75,12.5,40,40,20,40,32.5,27.5,15,53.75,31.25,32.5,30,37.5,28.75,56.25,15,11.25,52.5,36.25,16.25,47.5,36.25,20,41.25,38.75,1
PON1,P27169,28.75,36.25,35,35,45,20,37.5,32.5,30,27.5,52.5,20,8.75,83.75,7.5,46.25,28.75,25,46.25,21.25,32.5,33.75,23.75,42.5,22.5,67.5,10,28.75,67.5,3.75,22.5,21.25,56.25,25,18.75,56.25,30,40,30,40,32.5,27.5,35,43.75,21.25,26.25,56.25,17.5,43.75,45,11.25,45,33.75,21.25,16.25,65,18.75,32.5,38.75,28.75,25,63.75,11.25,8.75,58.75,32.5,12.5,56.25,31.25,15,37.5,47.5,1
TMPRSS6,Q8IU80,25,38.75,36.25,38.75,35,26.25,40,33.75,26.25,32.5,41.25,26.25,11.25,77.5,11.25,57.5,25,17.5,56.25,18.75,25,37.5,18.75,43.75,28.75,56.25,15,37.5,55,7.5,15,20,65,20,15,65,26.25,46.25,27.5,32.5,35,32.5,26.25,47.5,26.25,31.25,55,13.75,33.75,56.25,10,35,42.5,22.5,20,55,25,37.5,25,37.5,22.5,75,2.5,12.5,42.5,45,16.25,45,38.75,21.25,23.75,55,1
ARHGEF11,O15085,28.75,43.75,27.5,47.5,31.25,21.25,27.5,40,32.5,40,38.75,21.25,12.5,78.75,8.75,38.75,28.75,32.5,41.25,21.25,37.5,40,27.5,32.5,30,58.75,11.25,31.25,62.5,6.25,23.75,28.75,47.5,28.75,23.75,47.5,32.5,50,17.5,38.75,47.5,13.75,33.75,48.75,17.5,35,53.75,11.25,48.75,41.25,10,52.5,36.25,11.25,18.75,62.5,18.75,43.75,30,26.25,42.5,47.5,10,7.5,52.5,40,10,56.25,33.75,21.25,37.5,41.25,1
LAG3,P18627,20,46.25,33.75,47.5,37.5,15,33.75,43.75,22.5,28.75,56.25,15,3.75,90,6.25,52.5,20,27.5,48.75,20,31.25,37.5,12.5,50,23.75,66.25,10,27.5,70,2.5,16.25,17.5,66.25,21.25,12.5,66.25,22.5,52.5,25,26.25,48.75,25,32.5,43.75,23.75,42.5,51.25,6.25,27.5,52.5,20,30,52.5,17.5,7.5,70,22.5,23.75,46.25,30,21.25,68.75,10,11.25,33.75,55,12.5,40,47.5,11.25,27.5,61.25,1
PADI4,Q9UM07,18.75,50,31.25,56.25,31.25,12.5,31.25,47.5,21.25,42.5,45,12.5,5,86.25,8.75,43.75,18.75,37.5,32.5,33.75,33.75,28.75,33.75,37.5,25,71.25,3.75,36.25,58.75,5,12.5,32.5,55,17.5,27.5,55,21.25,61.25,17.5,30,53.75,16.25,30,48.75,21.25,28.75,58.75,12.5,40,43.75,16.25,42.5,43.75,13.75,10,57.5,32.5,28.75,41.25,30,23.75,53.75,22.5,8.75,47.5,43.75,11.25,58.75,30,12.5,40,47.5,1
NDUFV2,P19404,30,46.25,23.75,41.25,27.5,31.25,26.25,37.5,36.25,35,33.75,31.25,12.5,78.75,8.75,45,30,25,50,23.75,26.25,50,17.5,32.5,25,57.5,17.5,42.5,51.25,6.25,27.5,20,52.5,31.25,16.25,52.5,36.25,45,18.75,27.5,53.75,18.75,42.5,46.25,11.25,31.25,56.25,12.5,38.75,52.5,8.75,45,46.25,8.75,23.75,45,31.25,33.75,46.25,20,23.75,66.25,10,16.25,41.25,42.5,18.75,40,41.25,25,31.25,43.75,1
CLU,P10909,43.75,23.75,32.5,25,53.75,21.25,33.75,22.5,43.75,25,53.75,21.25,13.75,72.5,13.75,37.5,43.75,18.75,53.75,22.5,23.75,28.75,37.5,33.75,15,80,5,30,66.25,3.75,30,30,40,31.25,28.75,40,43.75,31.25,25,52.5,25,22.5,31.25,46.25,22.5,18.75,53.75,27.5,51.25,45,3.75,51.25,30,18.75,18.75,57.5,23.75,32.5,31.25,36.25,31.25,56.25,12.5,3.75,52.5,43.75,7.5,57.5,35,16.25,48.75,35,1
C2,P06681,12.5,55,32.5,56.25,26.25,17.5,36.25,50,13.75,40,42.5,17.5,3.75,95,1.25,47.5,12.5,40,33.75,25,41.25,30,27.5,42.5,32.5,55,12.5,32.5,62.5,5,12.5,28.75,58.75,12.5,28.75,58.75,13.75,61.25,25,35,32.5,32.5,27.5,50,22.5,37.5,60,2.5,47.5,33.75,18.75,48.75,28.75,22.5,11.25,70,18.75,40,36.25,23.75,27.5,57.5,15,16.25,56.25,27.5,18.75,55,26.25,8.75,43.75,47.5,1
EXO1,Q9UQ84,26.25,33.75,40,35,35,30,43.75,26.25,30,26.25,43.75,30,12.5,78.75,8.75,53.75,26.25,20,45,33.75,21.25,32.5,25,42.5,20,67.5,12.5,37.5,55,7.5,21.25,18.75,60,20,20,60,30,43.75,26.25,32.5,40,27.5,37.5,40,22.5,32.5,45,22.5,36.25,51.25,12.5,40,42.5,17.5,23.75,52.5,23.75,37.5,31.25,31.25,26.25,57.5,16.25,18.75,38.75,42.5,22.5,45,32.5,18.75,35,46.25,1
GLUD2,P49448,26.25,51.25,22.5,50,23.75,26.25,26.25,45,28.75,43.75,30,26.25,12.5,78.75,8.75,51.25,26.25,22.5,56.25,12.5,31.25,53.75,13.75,32.5,38.75,42.5,18.75,43.75,47.5,8.75,20,20,60,26.25,13.75,60,28.75,51.25,20,28.75,48.75,22.5,33.75,52.5,13.75,35,57.5,7.5,38.75,52.5,8.75,41.25,45,13.75,21.25,48.75,30,38.75,38.75,22.5,27.5,71.25,1.25,11.25,45,43.75,13.75,40,46.25,25,22.5,52.5,1
ATP6V1B2,P21281,30.332681,38.356164,31.311155,39.726027,37.76908,22.504892,34.833659,33.268102,31.898239,32.289628,45.205479,22.504892,10.176125,77.690802,12.133072,44.031311,30.332681,25.636008,42.465753,28.767123,28.767123,36.790607,23.287671,39.921722,21.526419,64.774951,13.69863,32.681018,58.51272,8.806262,19.765166,27.005871,53.228963,27.78865,18.982387,53.228963,31.898239,45.009785,23.091977,32.289628,47.358121,20.35225,38.356164,45.009785,16.634051,33.659491,47.945205,18.395303,40.508806,48.923679,10.567515,42.074364,45.205479,12.720157,18.395303,54.598826,27.005871,31.898239,39.334638,28.767123,24.657534,61.056751,14.285714,10.37182,47.749511,41.878669,13.502935,50.880626,35.616438,23.287671,31.702544,45.009785,0
BTK,Q06187,38.75,31.25,30,30,37.5,32.5,33.75,26.25,40,21.25,46.25,32.5,21.25,67.5,11.25,35,38.75,26.25,47.5,28.75,23.75,23.75,36.25,40,13.75,70,16.25,33.75,60,6.25,28.75,27.5,43.75,26.25,30,43.75,40,38.75,21.25,40,40,20,45,37.5,17.5,32.5,38.75,28.75,47.5,42.5,10,48.75,40,11.25,27.5,52.5,20,38.75,32.5,28.75,35,52.5,12.5,11.25,42.5,46.25,12.5,43.75,43.75,23.75,40,36.25,0
COL11A2,P13942,21.25,43.75,35,48.75,28.75,22.5,36.25,41.25,22.5,32.5,45,22.5,13.75,81.25,5,56.25,21.25,22.5,50,20,30,42.5,12.5,45,27.5,53.75,18.75,41.25,53.75,5,17.5,13.75,68.75,21.25,10,68.75,22.5,53.75,23.75,18.75,53.75,27.5,35,37.5,27.5,42.5,53.75,3.75,32.5,50,17.5,33.75,45,21.25,17.5,58.75,23.75,32.5,35,32.5,23.75,68.75,7.5,11.25,46.25,42.5,12.5,43.75,43.75,20,20,60,0
CAPN5,O15484,36.25,36.25,27.5,42.5,26.25,31.25,32.5,28.75,38.75,30,38.75,31.25,16.25,70,13.75,37.5,36.25,26.25,38.75,26.25,35,40,22.5,37.5,17.5,61.25,21.25,33.75,51.25,15,25,28.75,46.25,32.5,21.25,46.25,38.75,43.75,17.5,30,46.25,23.75,48.75,33.75,17.5,48.75,38.75,12.5,43.75,42.5,13.75,46.25,41.25,12.5,25,51.25,23.75,40,28.75,31.25,30,60,10,17.5,40,42.5,18.75,45,36.25,31.25,32.5,36.25,0
BEST1,O76090,21.25,32.5,46.25,27.5,42.5,30,56.25,22.5,21.25,22.5,47.5,30,8.75,85,6.25,51.25,21.25,27.5,43.75,41.25,15,21.25,25,53.75,15,60,25,26.25,62.5,11.25,15,31.25,53.75,18.75,27.5,53.75,21.25,37.5,41.25,25,31.25,43.75,35,41.25,23.75,38.75,42.5,18.75,42.5,50,7.5,42.5,32.5,25,21.25,58.75,20,33.75,36.25,30,23.75,53.75,22.5,22.5,57.5,20,25,51.25,23.75,22.5,37.5,40,0
CASQ2,O14958,35,27.5,37.5,26.25,42.5,31.25,43.75,18.75,37.5,21.25,47.5,31.25,15,72.5,12.5,41.25,35,23.75,46.25,32.5,21.25,23.75,32.5,43.75,12.5,71.25,16.25,26.25,62.5,11.25,25,30,45,26.25,28.75,45,37.5,37.5,25,37.5,32.5,30,37.5,36.25,26.25,32.5,45,22.5,43.75,50,6.25,46.25,36.25,17.5,25,55,20,36.25,25,38.75,31.25,58.75,10,17.5,40,42.5,18.75,50,31.25,25,40,35,0
CALM1,P62158,38.75,31.25,30,42.5,35,22.5,30,31.25,38.75,40,37.5,22.5,8.75,68.75,22.5,37.5,38.75,23.75,47.5,26.25,26.25,36.25,31.25,32.5,17.5,73.75,8.75,35,53.75,11.25,16.25,36.25,47.5,32.5,20,47.5,38.75,33.75,27.5,35,43.75,21.25,31.25,58.75,10,35,41.25,23.75,37.5,52.5,10,37.5,47.5,15,16.25,42.5,41.25,26.25,41.25,32.5,23.75,58.75,17.5,6.25,47.5,46.25,13.75,51.25,35,25,41.25,33.75,0
COL6A3,P12111,27.5,33.75,38.75,33.75,38.75,27.5,40,26.25,33.75,30,42.5,27.5,7.5,81.25,11.25,52.5,27.5,20,47.5,31.25,21.25,40,18.75,41.25,20,63.75,16.25,27.5,65,7.5,22.5,22.5,55,30,15,55,33.75,38.75,27.5,27.5,46.25,26.25,31.25,46.25,22.5,33.75,53.75,12.5,31.25,63.75,5,37.5,48.75,13.75,16.25,57.5,26.25,27.5,38.75,33.75,26.25,63.75,10,20,36.25,43.75,21.25,47.5,31.25,22.5,35,42.5,0
COL6A2,P12110,28.75,32.5,38.75,37.5,45,17.5,40,28.75,31.25,27.5,55,17.5,3.75,86.25,10,41.25,28.75,30,38.75,35,26.25,30,27.5,42.5,13.75,77.5,8.75,22.5,71.25,6.25,21.25,28.75,50,28.75,21.25,50,31.25,41.25,27.5,33.75,41.25,25,31.25,47.5,21.25,38.75,46.25,15,40,46.25,13.75,42.5,40,17.5,11.25,63.75,25,23.75,45,31.25,28.75,50,21.25,13.75,46.25,40,17.5,53.75,28.75,15,47.5,37.5,0
COL6A1,P12109,32.5,32.5,35,41.25,31.25,27.5,38.75,28.75,32.5,31.25,41.25,27.5,15,72.5,12.5,47.5,32.5,20,50,28.75,21.25,37.5,21.25,41.25,17.5,61.25,21.25,37.5,50,12.5,20,26.25,53.75,27.5,18.75,53.75,32.5,43.75,23.75,18.75,51.25,30,37.5,37.5,25,45,45,10,33.75,55,11.25,33.75,47.5,18.75,20,46.25,33.75,26.25,36.25,37.5,23.75,65,11.25,15,37.5,47.5,16.25,42.5,41.25,26.25,31.25,42.5,0
ABCC8,Q09428,16.25,38.75,45,33.75,36.25,30,46.25,28.75,25,26.25,43.75,30,3.75,92.5,3.75,55,16.25,28.75,35,36.25,28.75,35,16.25,48.75,20,62.5,17.5,22.5,73.75,3.75,21.25,20,58.75,23.75,17.5,58.75,25,41.25,33.75,26.25,42.5,31.25,37.5,40,22.5,32.5,58.75,8.75,32.5,57.5,10,41.25,42.5,16.25,16.25,68.75,15,35,38.75,26.25,25,58.75,16.25,26.25,47.5,26.25,28.75,53.75,17.5,16.25,40,43.75,0
COL7A1,Q02388,23.75,40,36.25,42.5,35,22.5,37.5,37.5,25,37.5,40,22.5,12.5,80,7.5,57.5,23.75,18.75,51.25,26.25,22.5,42.5,20,37.5,31.25,48.75,20,41.25,55,3.75,17.5,21.25,61.25,25,13.75,61.25,25,50,25,25,50,25,25,50,25,31.25,60,8.75,37.5,56.25,6.25,38.75,43.75,17.5,16.25,55,28.75,32.5,35,32.5,26.25,63.75,10,11.25,52.5,36.25,12.5,50,37.5,22.5,26.25,51.25,0
ANKRD1,Q15327,48.75,26.25,25,27.5,45,27.5,26.25,23.75,50,25,47.5,27.5,18.75,60,21.25,36.25,48.75,15,65,16.25,18.75,31.25,40,28.75,16.25,75,8.75,37.5,57.5,5,28.75,31.25,40,35,25,40,50,31.25,18.75,51.25,28.75,20,31.25,50,18.75,23.75,43.75,32.5,43.75,51.25,5,45,40,15,23.75,43.75,32.5,35,25,40,31.25,62.5,6.25,6.25,36.25,57.5,8.75,40,51.25,27.5,37.5,35,0
C1GALT1C1,Q96EU7,27.5,33.75,38.75,28.75,37.5,33.75,40,22.5,37.5,23.75,42.5,33.75,12.5,76.25,11.25,41.25,27.5,31.25,51.25,23.75,25,31.25,28.75,40,18.75,71.25,10,25,70,5,26.25,23.75,50,30,20,50,37.5,31.25,31.25,35,40,25,42.5,38.75,18.75,26.25,48.75,25,35,53.75,11.25,45,35,20,30,52.5,17.5,46.25,23.75,30,40,46.25,13.75,17.5,52.5,30,23.75,50,26.25,27.5,35,37.5,0
ADAMTS13,Q76LX8,25,46.25,28.75,47.5,28.75,23.75,30,41.25,28.75,28.75,47.5,23.75,12.5,86.25,1.25,48.75,25,26.25,51.25,17.5,31.25,47.5,16.25,36.25,28.75,53.75,17.5,40,58.75,1.25,27.5,11.25,61.25,27.5,11.25,61.25,28.75,51.25,20,32.5,42.5,25,33.75,46.25,20,48.75,46.25,5,43.75,36.25,20,47.5,33.75,18.75,18.75,63.75,17.5,38.75,40,21.25,36.25,53.75,10,16.25,45,38.75,17.5,35,47.5,17.5,32.5,50,0
C12orf57,Q99622,33.75,36.25,30,42.5,40,17.5,31.25,35,33.75,36.25,46.25,17.5,7.5,80,12.5,47.5,33.75,18.75,52.5,23.75,23.75,43.75,23.75,32.5,28.75,63.75,7.5,35,58.75,6.25,21.25,22.5,56.25,28.75,15,56.25,33.75,48.75,17.5,37.5,45,17.5,25,57.5,17.5,33.75,50,16.25,36.25,52.5,11.25,36.25,51.25,12.5,13.75,51.25,35,25,45,30,28.75,62.5,8.75,7.5,33.75,58.75,12.5,41.25,46.25,16.25,38.75,45,0
CHSY1,Q86X52,26.25,50,23.75,55,23.75,21.25,23.75,50,26.25,46.25,32.5,21.25,16.25,77.5,6.25,56.25,26.25,17.5,53.75,10,36.25,56.25,13.75,30,42.5,38.75,18.75,51.25,45,3.75,20,17.5,62.5,25,12.5,62.5,26.25,56.25,17.5,32.5,48.75,18.75,30,51.25,18.75,36.25,60,3.75,45,45,10,45,40,15,17.5,57.5,25,45,30,25,30,66.25,3.75,5,53.75,41.25,6.25,46.25,47.5,21.25,20,58.75,0
ACVRL1,P37023,26.25,40,33.75,45,30,25,33.75,35,31.25,27.5,47.5,25,15,77.5,7.5,45,26.25,28.75,47.5,25,27.5,36.25,30,33.75,18.75,68.75,12.5,46.25,52.5,1.25,23.75,20,56.25,27.5,16.25,56.25,31.25,51.25,17.5,30,43.75,26.25,32.5,38.75,28.75,37.5,52.5,10,42.5,36.25,21.25,47.5,27.5,25,23.75,50,26.25,41.25,22.5,36.25,30,52.5,17.5,15,52.5,32.5,18.75,46.25,35,23.75,32.5,43.75,0
BHLHA9,Q7RTU4,35,46.25,18.75,53.75,25,21.25,18.75,46.25,35,43.75,35,21.25,18.75,67.5,13.75,47.5,35,17.5,53.75,8.75,37.5,53.75,22.5,23.75,37.5,47.5,15,53.75,41.25,5,21.25,21.25,57.5,31.25,11.25,57.5,35,52.5,12.5,37.5,48.75,13.75,35,50,15,32.5,53.75,13.75,45,42.5,12.5,45,41.25,13.75,21.25,46.25,32.5,43.75,27.5,28.75,27.5,67.5,5,2.5,53.75,43.75,5,45,50,28.75,18.75,52.5,0
CAV3,P56539,33.75,27.5,38.75,32.5,40,27.5,43.75,20,36.25,27.5,45,27.5,10,71.25,18.75,41.25,33.75,25,37.5,38.75,23.75,26.25,30,43.75,11.25,75,13.75,25,60,15,17.5,37.5,45,28.75,26.25,45,36.25,38.75,25,28.75,46.25,25,43.75,35,21.25,33.75,42.5,23.75,33.75,57.5,8.75,36.25,50,13.75,21.25,47.5,31.25,31.25,28.75,40,22.5,58.75,18.75,16.25,38.75,45,20,53.75,26.25,28.75,36.25,35,0
ALDH5A1,P51649,17.5,52.5,30,58.75,20,21.25,31.25,51.25,17.5,43.75,35,21.25,12.5,85,2.5,58.75,17.5,23.75,45,22.5,32.5,47.5,16.25,36.25,36.25,43.75,20,52.5,43.75,3.75,15,17.5,67.5,17.5,15,67.5,17.5,61.25,21.25,22.5,51.25,26.25,30,48.75,21.25,41.25,57.5,1.25,41.25,42.5,16.25,41.25,40,18.75,15,56.25,28.75,37.5,38.75,23.75,22.5,63.75,13.75,12.5,52.5,35,13.75,45,41.25,16.25,26.25,57.5,0
AP4E1,Q9UPM8,26.25,45,28.75,46.25,35,18.75,28.75,43.75,27.5,40,41.25,18.75,11.25,80,8.75,42.5,26.25,31.25,52.5,21.25,26.25,28.75,38.75,32.5,28.75,66.25,5,40,58.75,1.25,18.75,30,51.25,18.75,30,51.25,27.5,48.75,23.75,41.25,37.5,21.25,23.75,57.5,18.75,21.25,58.75,20,46.25,43.75,10,47.5,33.75,18.75,16.25,53.75,30,35,37.5,27.5,32.5,52.5,15,5,53.75,41.25,8.75,52.5,38.75,12.5,43.75,43.75,0
COL11A1,P12107,31.25,40,28.75,43.75,25,31.25,30,37.5,32.5,38.75,30,31.25,16.25,75,8.75,41.25,31.25,27.5,41.25,32.5,26.25,33.75,33.75,32.5,22.5,57.5,20,42.5,51.25,6.25,23.75,35,41.25,23.75,35,41.25,32.5,46.25,21.25,32.5,45,22.5,37.5,47.5,15,33.75,52.5,13.75,48.75,45,6.25,50,40,10,20,50,30,38.75,37.5,23.75,30,51.25,18.75,15,46.25,38.75,16.25,48.75,35,18.75,48.75,32.5,0
COL2A1,P02458,33.75,26.25,40,43.75,42.5,13.75,42.5,23.75,33.75,30,56.25,13.75,8.75,75,16.25,50,33.75,16.25,38.75,35,26.25,36.25,25,38.75,13.75,77.5,8.75,33.75,52.5,13.75,17.5,27.5,55,30,15,55,33.75,46.25,20,26.25,48.75,25,36.25,32.5,31.25,42.5,42.5,15,33.75,51.25,15,33.75,45,21.25,12.5,52.5,35,22.5,30,47.5,20,58.75,21.25,12.5,38.75,48.75,13.75,55,31.25,23.75,31.25,45,0
COL27A1,Q8IZC6,16.25,55,28.75,57.5,22.5,20,28.75,53.75,17.5,50,30,20,7.5,88.75,3.75,61.25,16.25,22.5,42.5,25,32.5,48.75,17.5,33.75,42.5,41.25,16.25,47.5,50,2.5,13.75,20,66.25,16.25,17.5,66.25,17.5,58.75,23.75,31.25,48.75,20,25,62.5,12.5,32.5,60,7.5,41.25,50,8.75,42.5,47.5,10,10,61.25,28.75,36.25,47.5,16.25,23.75,62.5,13.75,12.5,48.75,38.75,13.75,47.5,38.75,11.25,32.5,56.25,0
CHST3,Q7LGC8,31.25,27.5,41.25,32.5,43.75,23.75,42.5,25,32.5,27.5,48.75,23.75,12.5,76.25,11.25,48.75,31.25,20,48.75,27.5,23.75,28.75,26.25,45,18.75,70,11.25,26.25,66.25,7.5,21.25,23.75,55,23.75,21.25,55,32.5,36.25,31.25,31.25,42.5,26.25,36.25,38.75,25,28.75,50,21.25,33.75,58.75,7.5,35,46.25,18.75,17.5,58.75,23.75,27.5,36.25,36.25,28.75,60,11.25,10,45,45,12.5,53.75,33.75,17.5,37.5,45,0
B3GALT6,Q96L58,21.25,51.25,27.5,53.75,21.25,25,28.75,50,21.25,41.25,33.75,25,17.5,78.75,3.75,56.25,21.25,22.5,61.25,15,23.75,48.75,15,36.25,37.5,41.25,21.25,53.75,43.75,2.5,17.5,16.25,66.25,20,13.75,66.25,21.25,57.5,21.25,16.25,60,23.75,33.75,46.25,20,37.5,57.5,5,33.75,51.25,15,33.75,47.5,18.75,21.25,45,33.75,36.25,40,23.75,26.25,65,8.75,7.5,48.75,43.75,10,35,55,21.25,18.75,60,0
ACP5,P13686,22.5,40,37.5,45,35,20,38.75,37.5,23.75,40,40,20,5,85,10,57.5,22.5,20,45,27.5,27.5,43.75,12.5,43.75,26.25,60,13.75,35,56.25,8.75,13.75,22.5,63.75,22.5,13.75,63.75,23.75,45,31.25,22.5,50,27.5,31.25,48.75,20,33.75,57.5,8.75,31.25,60,8.75,32.5,50,17.5,11.25,57.5,31.25,25,45,30,16.25,70,13.75,11.25,47.5,41.25,15,53.75,31.25,16.25,30,53.75,0
ATP2B3,Q16720,37.5,37.5,25,43.75,36.25,20,26.25,35,38.75,36.25,43.75,20,11.25,72.5,16.25,40,37.5,22.5,52.5,17.5,30,42.5,28.75,28.75,23.75,66.25,10,38.75,53.75,7.5,22.5,28.75,48.75,33.75,17.5,48.75,38.75,41.25,20,40,38.75,21.25,31.25,52.5,16.25,33.75,48.75,17.5,43.75,45,11.25,45,37.5,17.5,17.5,48.75,33.75,32.5,35,32.5,27.5,61.25,11.25,7.5,48.75,43.75,11.25,47.5,41.25,25,35,40,0
ANO10,Q9NW15,38.75,27.5,33.75,28.75,47.5,23.75,36.25,25,38.75,26.25,50,23.75,15,71.25,13.75,41.25,38.75,20,55,23.75,21.25,27.5,33.75,38.75,16.25,73.75,10,31.25,62.5,6.25,25,30,45,27.5,27.5,45,38.75,33.75,27.5,41.25,33.75,25,35,42.5,22.5,23.75,50,26.25,43.75,51.25,5,43.75,37.5,18.75,20,53.75,26.25,31.25,32.5,36.25,28.75,58.75,12.5,6.25,48.75,45,8.75,52.5,38.75,20,40,40,0
CACNA1A,O00555,26.25,51.25,22.5,50,25,25,26.25,47.5,26.25,43.75,31.25,25,12.5,85,2.5,50,26.25,23.75,45,17.5,37.5,57.5,12.5,30,40,42.5,17.5,50,45,5,23.75,15,61.25,25,13.75,61.25,26.25,58.75,15,41.25,40,18.75,27.5,60,12.5,38.75,57.5,3.75,57.5,30,12.5,57.5,30,12.5,22.5,58.75,18.75,50,35,15,32.5,62.5,5,7.5,57.5,35,13.75,47.5,38.75,17.5,31.25,51.25,0
CCDC88C,Q9P219,33.75,25,41.25,30,50,20,42.5,22.5,35,25,55,20,6.25,83.75,10,41.25,33.75,25,36.25,31.25,32.5,35,17.5,47.5,10,78.75,11.25,18.75,72.5,8.75,25,25,50,32.5,17.5,50,35,32.5,32.5,32.5,41.25,26.25,40,37.5,22.5,36.25,51.25,12.5,42.5,47.5,10,43.75,37.5,18.75,13.75,68.75,17.5,25,42.5,32.5,25,58.75,16.25,8.75,57.5,33.75,13.75,65,21.25,16.25,43.75,40,0
AFG3L2,Q9Y4W6,27.5,41.25,31.25,42.5,28.75,28.75,35,36.25,28.75,28.75,42.5,28.75,15,81.25,3.75,48.75,27.5,23.75,43.75,27.5,28.75,42.5,18.75,38.75,22.5,53.75,23.75,43.75,51.25,5,25,18.75,56.25,26.25,17.5,56.25,28.75,48.75,22.5,30,41.25,28.75,37.5,42.5,20,46.25,46.25,7.5,48.75,36.25,15,50,32.5,17.5,21.25,58.75,20,40,36.25,23.75,27.5,57.5,15,17.5,51.25,31.25,18.75,42.5,38.75,21.25,33.75,45,0
BICD2,Q8TD16,45,28.75,26.25,23.75,51.25,25,30,22.5,47.5,21.25,53.75,25,12.5,61.25,26.25,35,45,20,73.75,16.25,10,28.75,38.75,32.5,17.5,70,12.5,27.5,67.5,5,21.25,38.75,40,41.25,18.75,40,47.5,31.25,21.25,43.75,33.75,22.5,26.25,56.25,17.5,26.25,40,33.75,31.25,62.5,6.25,33.75,50,16.25,22.5,37.5,40,30,26.25,43.75,30,63.75,6.25,8.75,33.75,57.5,12.5,30,57.5,38.75,26.25,35,0
